
ctarget:     file format elf64-x86-64


Disassembly of section .init:

0000000000401000 <_init>:
  401000:	f3 0f 1e fa          	endbr64 
  401159:	f2 e9 c1 fe ff ff    	bnd jmpq 401020 <.plt>
  40115f:	90                   	nop
  401160:	f3 0f 1e fa          	endbr64 
  401164:	68 13 00 00 00       	pushq  $0x13
  401169:	f2 e9 b1 fe ff ff    	bnd jmpq 401020 <.plt>
  40116f:	90                   	nop
  401170:	f3 0f 1e fa          	endbr64 
  401174:	68 14 00 00 00       	pushq  $0x14
  401179:	f2 e9 a1 fe ff ff    	bnd jmpq 401020 <.plt>
  40117f:	90                   	nop
  401180:	f3 0f 1e fa          	endbr64 
  401184:	68 15 00 00 00       	pushq  $0x15
  401189:	f2 e9 91 fe ff ff    	bnd jmpq 401020 <.plt>
  40118f:	90                   	nop
  401190:	f3 0f 1e fa          	endbr64 
  401194:	68 16 00 00 00       	pushq  $0x16
  401199:	f2 e9 81 fe ff ff    	bnd jmpq 401020 <.plt>
  40119f:	90                   	nop
  4011a0:	f3 0f 1e fa          	endbr64 
  4011a4:	68 17 00 00 00       	pushq  $0x17
  4011a9:	f2 e9 71 fe ff ff    	bnd jmpq 401020 <.plt>
  4011af:	90                   	nop
  4011b0:	f3 0f 1e fa          	endbr64 
  4011b4:	68 18 00 00 00       	pushq  $0x18
  4011b9:	f2 e9 61 fe ff ff    	bnd jmpq 401020 <.plt>
  4011bf:	90                   	nop
  4011c0:	f3 0f 1e fa          	endbr64 
  4011c4:	68 19 00 00 00       	pushq  $0x19
  4011c9:	f2 e9 51 fe ff ff    	bnd jmpq 401020 <.plt>
  4011cf:	90                   	nop
  4011d0:	f3 0f 1e fa          	endbr64 
  4011d4:	68 1a 00 00 00       	pushq  $0x1a
  4011d9:	f2 e9 41 fe ff ff    	bnd jmpq 401020 <.plt>
  4011df:	90                   	nop
  4011e0:	f3 0f 1e fa          	endbr64 
  4011e4:	68 1b 00 00 00       	pushq  $0x1b
  4011e9:	f2 e9 31 fe ff ff    	bnd jmpq 401020 <.plt>
  4011ef:	90                   	nop
  4011f0:	f3 0f 1e fa          	endbr64 
  4011f4:	68 1c 00 00 00       	pushq  $0x1c
  4011f9:	f2 e9 21 fe ff ff    	bnd jmpq 401020 <.plt>
  4011ff:	90                   	nop
  401200:	f3 0f 1e fa          	endbr64 
  401204:	68 1d 00 00 00       	pushq  $0x1d
  401209:	f2 e9 11 fe ff ff    	bnd jmpq 401020 <.plt>
  40120f:	90                   	nop
  401210:	f3 0f 1e fa          	endbr64 
  401214:	68 1e 00 00 00       	pushq  $0x1e
  401219:	f2 e9 01 fe ff ff    	bnd jmpq 401020 <.plt>
  40121f:	90                   	nop
  401220:	f3 0f 1e fa          	endbr64 
  401224:	68 1f 00 00 00       	pushq  $0x1f
  401229:	f2 e9 f1 fd ff ff    	bnd jmpq 401020 <.plt>
  40122f:	90                   	nop
  401230:	f3 0f 1e fa          	endbr64 
  401234:	68 20 00 00 00       	pushq  $0x20
  401239:	f2 e9 e1 fd ff ff    	bnd jmpq 401020 <.plt>
  40123f:	90                   	nop
  401240:	f3 0f 1e fa          	endbr64 
  401244:	68 21 00 00 00       	pushq  $0x21
  401249:	f2 e9 d1 fd ff ff    	bnd jmpq 401020 <.plt>
  40124f:	90                   	nop

Disassembly of section .plt.sec:

0000000000401250 <curl_free@plt>:
  401250:	f3 0f 1e fa          	endbr64 
  401254:	f2 ff 25 bd 3d 00 00 	bnd jmpq *0x3dbd(%rip)        # 405018 <curl_free@CURL_OPENSSL_4>
  40125b:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

0000000000401260 <memcpy@plt>:
  401260:	f3 0f 1e fa          	endbr64 
  401264:	f2 ff 25 b5 3d 00 00 	bnd jmpq *0x3db5(%rip)        # 405020 <memcpy@GLIBC_2.14>
  40126b:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

0000000000401270 <realloc@plt>:
  401270:	f3 0f 1e fa          	endbr64 
  401274:	f2 ff 25 ad 3d 00 00 	bnd jmpq *0x3dad(%rip)        # 405028 <realloc@GLIBC_2.2.5>
  40127b:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

0000000000401280 <curl_easy_cleanup@plt>:
  401280:	f3 0f 1e fa          	endbr64 
  401284:	f2 ff 25 a5 3d 00 00 	bnd jmpq *0x3da5(%rip)        # 405030 <curl_easy_cleanup@CURL_OPENSSL_4>
  40128b:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

0000000000401290 <free@plt>:
  401290:	f3 0f 1e fa          	endbr64 
  401294:	f2 ff 25 9d 3d 00 00 	bnd jmpq *0x3d9d(%rip)        # 405038 <free@GLIBC_2.2.5>
  40129b:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

00000000004012a0 <curl_global_init@plt>:
  4012a0:	f3 0f 1e fa          	endbr64 
  4012a4:	f2 ff 25 95 3d 00 00 	bnd jmpq *0x3d95(%rip)        # 405040 <curl_global_init@CURL_OPENSSL_4>
  4012ab:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

00000000004012b0 <strncmp@plt>:
  4012b0:	f3 0f 1e fa          	endbr64 
  4012b4:	f2 ff 25 8d 3d 00 00 	bnd jmpq *0x3d8d(%rip)        # 405048 <strncmp@GLIBC_2.2.5>
  4012bb:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

00000000004012c0 <__fprintf_chk@plt>:
  4012c0:	f3 0f 1e fa          	endbr64 
  4012c4:	f2 ff 25 85 3d 00 00 	bnd jmpq *0x3d85(%rip)        # 405050 <__fprintf_chk@GLIBC_2.3.4>
  4012cb:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

00000000004012d0 <alarm@plt>:
  4012d0:	f3 0f 1e fa          	endbr64 
  4012d4:	f2 ff 25 7d 3d 00 00 	bnd jmpq *0x3d7d(%rip)        # 405058 <alarm@GLIBC_2.2.5>
  4012db:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

00000000004012e0 <__stack_chk_fail@plt>:
  4012e0:	f3 0f 1e fa          	endbr64 
  4012e4:	f2 ff 25 75 3d 00 00 	bnd jmpq *0x3d75(%rip)        # 405060 <__stack_chk_fail@GLIBC_2.4>
  4012eb:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

00000000004012f0 <memset@plt>:
  4012f0:	f3 0f 1e fa          	endbr64 
  4012f4:	f2 ff 25 6d 3d 00 00 	bnd jmpq *0x3d6d(%rip)        # 405068 <memset@GLIBC_2.2.5>
  4012fb:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

0000000000401300 <signal@plt>:
  401300:	f3 0f 1e fa          	endbr64 
  401304:	f2 ff 25 65 3d 00 00 	bnd jmpq *0x3d65(%rip)        # 405070 <signal@GLIBC_2.2.5>
  40130b:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

0000000000401310 <getc@plt>:
  401310:	f3 0f 1e fa          	endbr64 
  401314:	f2 ff 25 5d 3d 00 00 	bnd jmpq *0x3d5d(%rip)        # 405078 <getc@GLIBC_2.2.5>
  40131b:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

0000000000401320 <curl_easy_strerror@plt>:
  401320:	f3 0f 1e fa          	endbr64 
  401324:	f2 ff 25 55 3d 00 00 	bnd jmpq *0x3d55(%rip)        # 405080 <curl_easy_strerror@CURL_OPENSSL_4>
  40132b:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

0000000000401330 <munmap@plt>:
  401330:	f3 0f 1e fa          	endbr64 
  401334:	f2 ff 25 4d 3d 00 00 	bnd jmpq *0x3d4d(%rip)        # 405088 <munmap@GLIBC_2.2.5>
  40133b:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

0000000000401340 <exit@plt>:
  401340:	f3 0f 1e fa          	endbr64 
  401344:	f2 ff 25 45 3d 00 00 	bnd jmpq *0x3d45(%rip)        # 405090 <exit@GLIBC_2.2.5>
  40134b:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

0000000000401350 <curl_easy_perform@plt>:
  401350:	f3 0f 1e fa          	endbr64 
  401354:	f2 ff 25 3d 3d 00 00 	bnd jmpq *0x3d3d(%rip)        # 405098 <curl_easy_perform@CURL_OPENSSL_4>
  40135b:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

0000000000401360 <curl_easy_escape@plt>:
  401360:	f3 0f 1e fa          	endbr64 
  401364:	f2 ff 25 35 3d 00 00 	bnd jmpq *0x3d35(%rip)        # 4050a0 <curl_easy_escape@CURL_OPENSSL_4>
  40136b:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

0000000000401370 <time@plt>:
  401370:	f3 0f 1e fa          	endbr64 
  401374:	f2 ff 25 2d 3d 00 00 	bnd jmpq *0x3d2d(%rip)        # 4050a8 <time@GLIBC_2.2.5>
  40137b:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

0000000000401380 <strtoul@plt>:
  401380:	f3 0f 1e fa          	endbr64 
  401384:	f2 ff 25 25 3d 00 00 	bnd jmpq *0x3d25(%rip)        # 4050b0 <strtoul@GLIBC_2.2.5>
  40138b:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

0000000000401390 <strtol@plt>:
  401390:	f3 0f 1e fa          	endbr64 
  401394:	f2 ff 25 1d 3d 00 00 	bnd jmpq *0x3d1d(%rip)        # 4050b8 <strtol@GLIBC_2.2.5>
  40139b:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

00000000004013a0 <curl_easy_setopt@plt>:
  4013a0:	f3 0f 1e fa          	endbr64 
  4013a4:	f2 ff 25 15 3d 00 00 	bnd jmpq *0x3d15(%rip)        # 4050c0 <curl_easy_setopt@CURL_OPENSSL_4>
  4013ab:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

00000000004013b0 <malloc@plt>:
  4013b0:	f3 0f 1e fa          	endbr64 
  4013b4:	f2 ff 25 0d 3d 00 00 	bnd jmpq *0x3d0d(%rip)        # 4050c8 <malloc@GLIBC_2.2.5>
  4013bb:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

00000000004013c0 <curl_global_cleanup@plt>:
  4013c0:	f3 0f 1e fa          	endbr64 
  4013c4:	f2 ff 25 05 3d 00 00 	bnd jmpq *0x3d05(%rip)        # 4050d0 <curl_global_cleanup@CURL_OPENSSL_4>
  4013cb:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

00000000004013d0 <getopt@plt>:
  4013d0:	f3 0f 1e fa          	endbr64 
  4013d4:	f2 ff 25 fd 3c 00 00 	bnd jmpq *0x3cfd(%rip)        # 4050d8 <getopt@GLIBC_2.2.5>
  4013db:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

00000000004013e0 <mmap@plt>:
  4013e0:	f3 0f 1e fa          	endbr64 
  4013e4:	f2 ff 25 f5 3c 00 00 	bnd jmpq *0x3cf5(%rip)        # 4050e0 <mmap@GLIBC_2.2.5>
  4013eb:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

00000000004013f0 <curl_easy_init@plt>:
  4013f0:	f3 0f 1e fa          	endbr64 
  4013f4:	f2 ff 25 ed 3c 00 00 	bnd jmpq *0x3ced(%rip)        # 4050e8 <curl_easy_init@CURL_OPENSSL_4>
  4013fb:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

0000000000401400 <puts@plt>:
  401400:	f3 0f 1e fa          	endbr64 
  401404:	f2 ff 25 e5 3c 00 00 	bnd jmpq *0x3ce5(%rip)        # 4050f0 <puts@GLIBC_2.2.5>
  40140b:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

0000000000401410 <__printf_chk@plt>:
  401410:	f3 0f 1e fa          	endbr64 
  401414:	f2 ff 25 dd 3c 00 00 	bnd jmpq *0x3cdd(%rip)        # 4050f8 <__printf_chk@GLIBC_2.3.4>
  40141b:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

0000000000401420 <srandom@plt>:
  401420:	f3 0f 1e fa          	endbr64 
  401424:	f2 ff 25 d5 3c 00 00 	bnd jmpq *0x3cd5(%rip)        # 405100 <srandom@GLIBC_2.2.5>
  40142b:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

0000000000401430 <random@plt>:
  401430:	f3 0f 1e fa          	endbr64 
  401434:	f2 ff 25 cd 3c 00 00 	bnd jmpq *0x3ccd(%rip)        # 405108 <random@GLIBC_2.2.5>
  40143b:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

0000000000401440 <__sprintf_chk@plt>:
  401440:	f3 0f 1e fa          	endbr64 
  401444:	f2 ff 25 c5 3c 00 00 	bnd jmpq *0x3cc5(%rip)        # 405110 <__sprintf_chk@GLIBC_2.3.4>
  40144b:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

0000000000401450 <fopen@plt>:
  401450:	f3 0f 1e fa          	endbr64 
  401454:	f2 ff 25 bd 3c 00 00 	bnd jmpq *0x3cbd(%rip)        # 405118 <fopen@GLIBC_2.2.5>
  40145b:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

0000000000401460 <__snprintf_chk@plt>:
  401460:	f3 0f 1e fa          	endbr64 
  401464:	f2 ff 25 b5 3c 00 00 	bnd jmpq *0x3cb5(%rip)        # 405120 <__snprintf_chk@GLIBC_2.3.4>
  40146b:	0f 1f 44 00 00       	nopl   0x0(%rax,%rax,1)

Disassembly of section .text:

0000000000401470 <_start>:
  401470:	f3 0f 1e fa          	endbr64 
  401474:	31 ed                	xor    %ebp,%ebp
  401476:	49 89 d1             	mov    %rdx,%r9
  401479:	5e                   	pop    %rsi
  40147a:	48 89 e2             	mov    %rsp,%rdx
  40147d:	48 83 e4 f0          	and    $0xfffffffffffffff0,%rsp
  401481:	50                   	push   %rax
  401482:	54                   	push   %rsp
  401483:	49 c7 c0 c0 2b 40 00 	mov    $0x402bc0,%r8
  40148a:	48 c7 c1 50 2b 40 00 	mov    $0x402b50,%rcx
  401491:	48 c7 c7 09 17 40 00 	mov    $0x401709,%rdi
  401498:	ff 15 5a 3b 00 00    	callq  *0x3b5a(%rip)        # 404ff8 <__libc_start_main@GLIBC_2.2.5>
  40149e:	f4                   	hlt    
  40149f:	90                   	nop

00000000004014a0 <_dl_relocate_static_pie>:
  4014a0:	f3 0f 1e fa          	endbr64 
  4014a4:	c3                   	retq   
  4014a5:	66 2e 0f 1f 84 00 00 	nopw   %cs:0x0(%rax,%rax,1)
  4014ac:	00 00 00 
  4014af:	90                   	nop

00000000004014b0 <deregister_tm_clones>:
  4014b0:	b8 68 51 40 00       	mov    $0x405168,%eax
  4014b5:	48 3d 68 51 40 00    	cmp    $0x405168,%rax
  4014bb:	74 13                	je     4014d0 <deregister_tm_clones+0x20>
  4014bd:	b8 00 00 00 00       	mov    $0x0,%eax
  4014c2:	48 85 c0             	test   %rax,%rax
  4014c5:	74 09                	je     4014d0 <deregister_tm_clones+0x20>
  4014c7:	bf 68 51 40 00       	mov    $0x405168,%edi
  4014cc:	ff e0                	jmpq   *%rax
  4014ce:	66 90                	xchg   %ax,%ax
  4014d0:	c3                   	retq   
  4014d1:	66 66 2e 0f 1f 84 00 	data16 nopw %cs:0x0(%rax,%rax,1)
  4014d8:	00 00 00 00 
  4014dc:	0f 1f 40 00          	nopl   0x0(%rax)

00000000004014e0 <register_tm_clones>:
  4014e0:	be 68 51 40 00       	mov    $0x405168,%esi
  4014e5:	48 81 ee 68 51 40 00 	sub    $0x405168,%rsi
  4014ec:	48 89 f0             	mov    %rsi,%rax
  4014ef:	48 c1 ee 3f          	shr    $0x3f,%rsi
  4014f3:	48 c1 f8 03          	sar    $0x3,%rax
  4014f7:	48 01 c6             	add    %rax,%rsi
  4014fa:	48 d1 fe             	sar    %rsi
  4014fd:	74 11                	je     401510 <register_tm_clones+0x30>
  4014ff:	b8 00 00 00 00       	mov    $0x0,%eax
  401504:	48 85 c0             	test   %rax,%rax
  401507:	74 07                	je     401510 <register_tm_clones+0x30>
  401509:	bf 68 51 40 00       	mov    $0x405168,%edi
  40150e:	ff e0                	jmpq   *%rax
  401510:	c3                   	retq   
  401511:	66 66 2e 0f 1f 84 00 	data16 nopw %cs:0x0(%rax,%rax,1)
  401518:	00 00 00 00 
  40151c:	0f 1f 40 00          	nopl   0x0(%rax)

0000000000401520 <__do_global_dtors_aux>:
  401520:	f3 0f 1e fa          	endbr64 
  401524:	80 3d 8d 3c 00 00 00 	cmpb   $0x0,0x3c8d(%rip)        # 4051b8 <completed.8060>
  40152b:	75 13                	jne    401540 <__do_global_dtors_aux+0x20>
  40152d:	55                   	push   %rbp
  40152e:	48 89 e5             	mov    %rsp,%rbp
  401531:	e8 7a ff ff ff       	callq  4014b0 <deregister_tm_clones>
  401536:	c6 05 7b 3c 00 00 01 	movb   $0x1,0x3c7b(%rip)        # 4051b8 <completed.8060>
  40153d:	5d                   	pop    %rbp
  40153e:	c3                   	retq   
  40153f:	90                   	nop
  401540:	c3                   	retq   
  401541:	66 66 2e 0f 1f 84 00 	data16 nopw %cs:0x0(%rax,%rax,1)
  401548:	00 00 00 00 
  40154c:	0f 1f 40 00          	nopl   0x0(%rax)

0000000000401550 <frame_dummy>:
  401550:	f3 0f 1e fa          	endbr64 
  401554:	eb 8a                	jmp    4014e0 <register_tm_clones>

0000000000401556 <usage>:
  401556:	50                   	push   %rax
  401557:	58                   	pop    %rax
  401558:	48 83 ec 08          	sub    $0x8,%rsp
  40155c:	48 89 fa             	mov    %rdi,%rdx
  40155f:	83 3d a2 3f 00 00 00 	cmpl   $0x0,0x3fa2(%rip)        # 405508 <is_checker>
  401566:	74 50                	je     4015b8 <usage+0x62>
  401568:	48 8d 35 99 1a 00 00 	lea    0x1a99(%rip),%rsi        # 403008 <_IO_stdin_used+0x8>
  40156f:	bf 01 00 00 00       	mov    $0x1,%edi
  401574:	b8 00 00 00 00       	mov    $0x0,%eax
  401579:	e8 92 fe ff ff       	callq  401410 <__printf_chk@plt>
  40157e:	48 8d 3d bb 1a 00 00 	lea    0x1abb(%rip),%rdi        # 403040 <_IO_stdin_used+0x40>
  401585:	e8 76 fe ff ff       	callq  401400 <puts@plt>
  40158a:	48 8d 3d af 1b 00 00 	lea    0x1baf(%rip),%rdi        # 403140 <_IO_stdin_used+0x140>
  401591:	e8 6a fe ff ff       	callq  401400 <puts@plt>
  401596:	48 8d 3d cb 1a 00 00 	lea    0x1acb(%rip),%rdi        # 403068 <_IO_stdin_used+0x68>
  40159d:	e8 5e fe ff ff       	callq  401400 <puts@plt>
  4015a2:	48 8d 3d b1 1b 00 00 	lea    0x1bb1(%rip),%rdi        # 40315a <_IO_stdin_used+0x15a>
  4015a9:	e8 52 fe ff ff       	callq  401400 <puts@plt>
  4015ae:	bf 00 00 00 00       	mov    $0x0,%edi
  4015b3:	e8 88 fd ff ff       	callq  401340 <exit@plt>
  4015b8:	48 8d 35 b7 1b 00 00 	lea    0x1bb7(%rip),%rsi        # 403176 <_IO_stdin_used+0x176>
  4015bf:	bf 01 00 00 00       	mov    $0x1,%edi
  4015c4:	b8 00 00 00 00       	mov    $0x0,%eax
  4015c9:	e8 42 fe ff ff       	callq  401410 <__printf_chk@plt>
  4015ce:	48 8d 3d bb 1a 00 00 	lea    0x1abb(%rip),%rdi        # 403090 <_IO_stdin_used+0x90>
  4015d5:	e8 26 fe ff ff       	callq  401400 <puts@plt>
  4015da:	48 8d 3d d7 1a 00 00 	lea    0x1ad7(%rip),%rdi        # 4030b8 <_IO_stdin_used+0xb8>
  4015e1:	e8 1a fe ff ff       	callq  401400 <puts@plt>
  4015e6:	48 8d 3d a7 1b 00 00 	lea    0x1ba7(%rip),%rdi        # 403194 <_IO_stdin_used+0x194>
  4015ed:	e8 0e fe ff ff       	callq  401400 <puts@plt>
  4015f2:	eb ba                	jmp    4015ae <usage+0x58>

00000000004015f4 <initialize_target>:
  4015f4:	55                   	push   %rbp
  4015f5:	53                   	push   %rbx
  4015f6:	48 81 ec 00 10 00 00 	sub    $0x1000,%rsp
  4015fd:	48 83 0c 24 00       	orq    $0x0,(%rsp)
  401602:	48 81 ec 00 10 00 00 	sub    $0x1000,%rsp
  401609:	48 83 0c 24 00       	orq    $0x0,(%rsp)
  40160e:	48 83 ec 18          	sub    $0x18,%rsp
  401612:	89 f5                	mov    %esi,%ebp
  401614:	64 48 8b 04 25 28 00 	mov    %fs:0x28,%rax
  40161b:	00 00 
  40161d:	48 89 84 24 08 20 00 	mov    %rax,0x2008(%rsp)
  401624:	00 
  401625:	31 c0                	xor    %eax,%eax
  401627:	89 3d cb 3e 00 00    	mov    %edi,0x3ecb(%rip)        # 4054f8 <check_level>
  40162d:	8b 3d 05 3b 00 00    	mov    0x3b05(%rip),%edi        # 405138 <target_id>
  401633:	e8 ec 14 00 00       	callq  402b24 <gencookie>
  401638:	89 c7                	mov    %eax,%edi
  40163a:	89 05 c4 3e 00 00    	mov    %eax,0x3ec4(%rip)        # 405504 <cookie>
  401640:	e8 df 14 00 00       	callq  402b24 <gencookie>
  401645:	89 05 b5 3e 00 00    	mov    %eax,0x3eb5(%rip)        # 405500 <authkey>
  40164b:	8b 05 e7 3a 00 00    	mov    0x3ae7(%rip),%eax        # 405138 <target_id>
  401651:	8d 78 01             	lea    0x1(%rax),%edi
  401654:	e8 c7 fd ff ff       	callq  401420 <srandom@plt>
  401659:	e8 d2 fd ff ff       	callq  401430 <random@plt>
  40165e:	48 89 c7             	mov    %rax,%rdi
  401661:	e8 93 02 00 00       	callq  4018f9 <scramble>
  401666:	89 c3                	mov    %eax,%ebx
  401668:	85 ed                	test   %ebp,%ebp
  40166a:	75 50                	jne    4016bc <initialize_target+0xc8>
  40166c:	b8 00 00 00 00       	mov    $0x0,%eax
  401671:	01 d8                	add    %ebx,%eax
  401673:	0f b7 c0             	movzwl %ax,%eax
  401676:	8d 04 c5 00 01 00 00 	lea    0x100(,%rax,8),%eax
  40167d:	89 c0                	mov    %eax,%eax
  40167f:	48 89 05 d2 3a 00 00 	mov    %rax,0x3ad2(%rip)        # 405158 <buf_offset>
  401686:	c6 05 9b 4a 00 00 63 	movb   $0x63,0x4a9b(%rip)        # 406128 <target_prefix>
  40168d:	83 3d cc 3a 00 00 00 	cmpl   $0x0,0x3acc(%rip)        # 405160 <notify>
  401694:	74 09                	je     40169f <initialize_target+0xab>
  401696:	83 3d 6b 3e 00 00 00 	cmpl   $0x0,0x3e6b(%rip)        # 405508 <is_checker>
  40169d:	74 36                	je     4016d5 <initialize_target+0xe1>
  40169f:	48 8b 84 24 08 20 00 	mov    0x2008(%rsp),%rax
  4016a6:	00 
  4016a7:	64 48 33 04 25 28 00 	xor    %fs:0x28,%rax
  4016ae:	00 00 
  4016b0:	75 52                	jne    401704 <initialize_target+0x110>
  4016b2:	48 81 c4 18 20 00 00 	add    $0x2018,%rsp
  4016b9:	5b                   	pop    %rbx
  4016ba:	5d                   	pop    %rbp
  4016bb:	c3                   	retq   
